zone_id,impact_mean,impact_max,impact_std,impact_count,priority,rank
Z-17-06,3.4733915239350024,69.56660461425781,11.371742461701462,68310,VERY LOW,197
Z-07-08,3.4386792796733743,72.2931900024414,12.028442898832727,68580,VERY LOW,198
Z-12-04,3.349473698600175,64.1109390258789,8.760875395770658,68580,VERY LOW,199
Z-09-11,3.121756069553806,86.9205322265625,12.893585794930013,68580,VERY LOW,200
Z-16-07,3.103134606938955,75.9388427734375,9.988891674883595,68310,VERY LOW,201
Z-18-08,3.045384827866946,64.99636840820312,10.838837557735602,60186,VERY LOW,202
Z-07-09,2.941506922451114,67.33091735839844,10.316433966687969,68834,VERY LOW,203
Z-18-04,2.93287641650018,79.75944519042969,12.286853880538123,61066,VERY LOW,204
Z-12-03,2.725984251968504,62.3974609375,7.06320933854871,68580,VERY LOW,205
Z-15-10,2.674864302161722,80.57811737060547,10.111429221557248,68834,VERY LOW,206
Z-12-05,2.6207294400699914,58.74530029296875,8.517532665301315,68580,VERY LOW,207
Z-08-10,2.606052553855578,71.06607055664062,9.900277122008045,68563,VERY LOW,208
Z-09-12,2.450251303222514,82.46856689453125,11.40381088481053,68580,VERY LOW,209
Z-11-13,2.4410801859171425,73.56340789794922,9.911587479738326,68310,VERY LOW,210
Z-08-09,2.3050944022286073,77.68695831298828,10.652101321075625,68563,VERY LOW,211
Z-12-10,2.2905095955487114,80.60846710205078,9.57557069141273,68834,VERY LOW,212
Z-09-10,2.07733687203998,69.2892837524414,8.765780456589441,68834,VERY LOW,213
Z-18-12,1.9876424892650082,96.25315856933594,10.87466864557841,59851,VERY LOW,214
Z-17-05,1.9088140233860342,76.20722198486328,8.36190825958659,68310,VERY LOW,215
Z-14-14,1.8717789729823486,71.76568603515625,8.645099472910655,30989,VERY LOW,216
Z-14-12,1.7857136811960181,75.00054168701172,8.35013409981446,68310,VERY LOW,217
Z-08-08,1.7333230401844533,76.739501953125,8.81234909952169,68310,VERY LOW,218
Z-14-10,1.709830967504339,81.10547637939453,9.093093861672847,68563,VERY LOW,219
Z-17-10,1.7065618482271778,80.41072845458984,10.429632548237928,68563,VERY LOW,220
Z-12-11,1.6950541338582676,79.00919342041016,8.620552406433736,68580,VERY LOW,221
Z-18-10,1.6866315765073647,78.75470733642578,9.850835752433278,47185,VERY LOW,222
Z-08-11,1.6420311585053433,81.92525482177734,9.706367215974248,68310,VERY LOW,223
