ward_number_2017,ward_number_2022,raw_weight,weight
035E,219,0.17061588809400954,0.17061588809399997
035E,220,0.5827726180862973,0.5827726180862646
035E,221,0.01740779055778019,0.01740779055777921
035E,222,0.15495228379971834,0.15495228379970963
035E,237,0.0225600363016338,0.022560036301632534
035N,29,3.126778769825503e-06,3.257034500699728e-06
035N,31,0.004002370537426429,0.004169101776813422
035N,32,0.7518899079536493,0.7832122293287948
035N,33,0.057227987795094463,0.05961199828174852
035N,34,0.146884481937231,0.1530034135781426
035S,113,0.04055299435518606,0.04055295609914996
035S,115,0.02466790857851054,0.024667885307814597
035S,121,0.10284039128739299,0.10284029427197441
035S,122,0.036954057531321506,0.036954022670375196
035S,123,0.7877190022626903,0.7877182591608043
035S,129,0.007266589344884685,0.007266582489881528
036E,221,0.4347479850512338,0.4420421102902511
036E,236,0.03544547235983169,0.036040170261693774
036E,238,0.13058122472917974,0.13277209355385447
036E,239,0.38272434415336315,0.38914562589420065
036N,27,0.003428014683521919,0.00342807295438733
036N,32,0.08828679581450069,0.08828829655136194
036N,33,0.7401246665582296,0.7401372475150848
036N,34,0.1620726044589577,0.16207535943867427
036N,35,0.0013250769086285202,0.0013250994328547357
036N,39,0.004385656635754133,0.004385731185028613
036N,40,0.00036018679999834456,0.0003601929226082174
036S,115,0.005257016463814709,0.005257014542955401
036S,120,0.01047015277184743,0.010470148946162168
036S,121,0.7924994707631359,0.7924991811920464
036S,122,0.1320664598904287,0.1320664116347136
036S,123,0.020561112777679913,0.020561105264862493
036S,124,0.003588726996179075,0.0035887256848954408
036S,136,0.03555742572667912,0.03555741273436444
037E,220,0.04924960451820514,0.04924960451820222
037E,221,0.35027294884652727,0.3502729488465065
037E,222,0.24039525552594598,0.24039525552593174
037E,223,0.35988338746007725,0.35988338746005594
037E,238,0.00019880364930354013,0.00019880364930352834
037N,34,0.2921473205155574,0.29214722506302854
037N,35,0.0006916165904392492,0.0006916163644691719
037N,36,0.5600591833959364,0.5600590004092663
037N,37,0.048657169953625234,0.04865715405599553
037N,44,0.02896668237113759,0.028966672906929322
037N,46,0.06947835390079182,0.06947833120031122
037S,106,0.023760664997869718,0.02376063956273392
037S,114,0.04147701232519454,0.04147696792519811
037S,115,0.26472517956282515,0.26472489618183004
037S,121,0.06518676437671417,0.06518669459608284
037S,122,0.5309624914139245,0.5309619230332384
037S,136,0.07388895779700579,0.07388887870091669
038E,221,0.263825106424941,0.2638249659400752
038E,222,0.09242221675131515,0.09242216753718654
038E,223,0.27892340481305977,0.27892325628846476
038E,224,0.06436644240130267,0.06436640812666086
038E,235,0.14508093317395968,0.14508085591946446
038E,236,0.1553824289281117,0.1553823461881482
038N,35,0.0357841802950581,0.03578425487917952
038N,36,0.8831309257045535,0.8831327663934739
038N,47,0.04730207470108034,0.04730217329167691
038N,48,0.02230258978190672,0.022302636266667602
038N,110,0.011478145245375151,0.011478169169002062
038S,120,0.8563168120260676,0.8563164585545529
038S,121,0.033842215390384386,0.03384220142095278
038S,124,0.004109864664627193,0.004109862968152164
038S,130,0.07269134735465861,0.07269131734903418
038S,135,0.0018416163189571948,0.0018416155587725287
038S,136,0.026129297563823737,0.02612928677813991
038S,137,0.005069259462890834,0.0050692573703956315
039E,223,0.061587963030541586,0.06158761203403014
039E,224,0.33158378850443665,0.3315818987722992
039E,227,0.048721769346703865,0.04872149167603202
039E,234,0.04770685588491612,0.047706583998346666
039E,235,0.4353276412390972,0.4353251602594399
039E,236,0.07507768113573672,0.07507725325985205
039N,34,0.11071185426825887,0.11200031733549527
039N,35,0.8622497391424828,0.8722845899808345
039N,36,8.36666633565091e-05,8.464037485656722e-05
039N,37,0.001977740831578706,0.0020007577527105668
039N,38,0.0013011931164179067,0.001316336384362678
039N,39,1.8522716806584615e-05,1.8738283935036238e-05
039N,110,0.0032553363891184585,0.0032932219501230343
039N,127,0.001425045001369777,0.0014416296558817123
039N,128,0.007472799936891548,0.007559768281800678
039S,120,0.0027049646570465827,0.0027049657382534208
039S,121,0.043805641342178826,0.04380565885181942
039S,124,0.5316033909081385,0.531603603396394
039S,125,0.4156613645202055,0.41566153066504163
039S,130,0.0062242388605886125,0.006224241348491587
040E,228,0.5035670427156584,0.5035701046446619
040E,231,0.013765538045616027,0.013765621746685825
040E,232,0.14050115407614813,0.14050200839051383
040E,233,0.28596422322389514,0.28596596202344865
040E,234,0.056195961496306485,0.056196303194689795
040N,26,0.006055473582752437,0.0060553838283458035
040N,33,0.03277750013996791,0.032777014310901735
040N,39,0.08728859114095049,0.08728729734689844
040N,40,0.8736832567048151,0.8736703069460193
040N,41,0.00021000068047103597,0.00020999756783480518
040S,125,0.9763676708457018,0.9859374218178905
040S,126,0.012777711875785894,0.01290295109078339
040S,129,0.0010399905501243954,0.001050183893139839
040S,130,0.00010838091560211388,0.00010944319818624702
041E,226,0.019203413754598254,0.019206586806576675
041E,227,0.6254217613333296,0.625525102113386
041E,228,0.3414680267642327,0.34152444880521654
041E,231,0.013741591700157003,0.013743862274820863
041N,26,0.07888308349959856,0.07888308341959058
041N,37,0.1069404272970053,0.10694042718853985
041N,40,0.04080039310441677,0.04080039306303455
