ward_number,ward_name,worldcover_canopy_fraction,worldcover_built_fraction,cropland_fraction,worldcover_bare_or_other_fraction
212,GANDHI NAGAR,0.12646331209545414,0.7214285452743385,0.057274630424866114,0.09483351220534053
213,SHASTRI PARK,0.22988759195011219,0.5445285224820642,0.12431763021466422,0.10126625535315865
214,AZAD NAGAR,0.04517300361360673,0.9119070240576307,0.0055824094992907,0.03733756282947158
215,SHAHDARA,0.01859083441672538,0.9767309892826413,0.001942315648797478,0.002735860651835592
216,JHILMIL,0.10795360676747064,0.8783157671869412,0.0027403829959916737,0.010990243049596341
217,DILSHAD COLONY,0.1735111865936492,0.8149248688163626,0.00039680202024468334,0.011167142569743231
218,SUNDAR NAGRI,0.10020881329711177,0.8039761919371666,0.04788946097162334,0.047925533794098564
219,DILSHAD GARDEN,0.17291037167951614,0.7920468112291926,0.007215480554148891,0.02782733653713939
220,NAND NAGRI,0.22850816522019998,0.6913150650787059,0.05827230768342805,0.02190446201766542
221,ASHOK NAGAR,0.05546141000061209,0.9263446949050209,0.006557190617766674,0.011636704476600014
222,RAM NAGAR EAST,0.018849907991329577,0.9766368375212015,0.0008349541266379834,0.0036783003608311547
223,ROHTASH NAGAR,0.0270791299421483,0.9644543824951133,0.00035648368685214774,0.008110003875886361
224,WELCOME COLONY,0.07039487959861077,0.8704077589984309,0.0033556436270069847,0.0558417177759517
225,SEELAMPUR,0.018596735276411175,0.8531081611713516,0.015310863938677905,0.11298423961355944
226,GAUTAM PURI,0.1271261270316835,0.24041503655707075,0.4357408089554572,0.19671802745578765
227,CHAUHAN BANGER,0.01336454635378665,0.9367806561943955,0.0,0.04985479745181781
228,MAUJPUR,0.0025403076861011736,0.9620332210891342,0.0,0.03542647122476446
229,BRAHAM PURI,0.17086312043437166,0.30864709045684646,0.41179320022222143,0.10869658888655977
230,BHAJANPURA,0.482238682525746,0.2394195606510531,0.1294407637183331,0.14890099310486732
231,GHONDA,0.0004556147821684883,0.9494309282034483,0.0,0.050113457014383155
232,YAMUNA VIHAR,0.06077547043535898,0.9142883341488823,0.0006963645732380886,0.02423983084252037
233,SUBHASH MOHALLA,0.013432612546224292,0.9491560743034124,0.0,0.037411313150363036
234,KABIR NAGAR,0.007035685332363742,0.9764087507557692,7.343026523130241e-05,0.01648213364663581
235,GORAKH PARK,0.057728323920608705,0.9146112542017724,0.0098950830168362,0.01776533886078277
236,KARDAM PURI,0.1182468168115976,0.8200918190024922,0.03846454083290974,0.02319682335300108
237,HARSH VIHAR,0.05480164365403218,0.8475902078546731,0.04021488506907289,0.05739326342222163
238,SABOLI,0.02658179133549054,0.92538350516607,0.011546503870625552,0.036488199627813765
